 #  n_B [fm^{-3}]   eps[MeV/fm^3]   p [MeV/fm^3]
   1.1322312302407992E-011   1.0638025643775194E-008   2.6591681386397337E-014
   5.0080013682233875E-004  0.47091007754275982        2.5030228744825703E-004
   1.4192973942651755E-003   1.3356535619930081        1.4192766764294514E-003
   2.6126208557304994E-003   2.4606168955601859        3.9203586566683331E-003
   4.0304302340088841E-003   3.7989757980947920        8.0668574873959883E-003
   5.6439596319247535E-003   5.3241077889602249        1.4125761863179660E-002
   7.4340197386097784E-003   7.0183462006186481        2.2335621177407373E-002
   9.3866855566578124E-003   8.8689416762452566        3.2915356480533765E-002
   1.1491295173583478E-002   10.866189539787808        4.6069390584166085E-002
   1.3739374412588106E-002   13.002424354748401        6.1990947804105752E-002
   1.6123999921467840E-002   15.271424886825047        8.0864324269679266E-002
   1.8639394586197837E-002   17.668036410647741       0.10286652832226982     
   2.1280656531840726E-002   20.187917918959780       0.12816851087086401     
   2.4043569882557191E-002   22.827365732586316       0.15693611582900818     
   2.6924468093240936E-002   25.583186209275766       0.18933083210068885     
   2.9920132468978025E-002   28.452601297811402       0.22551040047262633     
   3.3027715034222013E-002   31.433176808366770       0.26562931166866405     
   3.6244678731888198E-002   34.522766841421202       0.30983922098340322     
   3.9568750256469651E-002   37.719469990381803       0.35828929776609847     
   4.2997882291480542E-002   41.021594303427840       0.41112652321429033     
   4.6530222875772090E-002   44.427628881671787       0.46849594656125176     
   5.0164090261335968E-002   47.936220586663019       0.53054090736588677     
   5.3897952062132500E-002   51.546154738205232       0.59740322987288619     
   5.7730407799034981E-002   55.256338968635070       0.66922339413281540     
   6.1660174163692474E-002   59.065789602831636       0.74614068761273156     
   6.5686072481995580E-002   62.973620080481808       0.82829334029589952     
   6.9807017973893770E-002   66.979031045334921       0.91581864570419669     
   7.4022010493030352E-002   71.081301807005019        1.0088530698399072     
   7.8330126495130242E-002   75.279782941873151        1.1075323496951168     
   8.2730512034169076E-002   79.573889846299977        1.2119915827008689     
   8.7222376624018438E-002   83.963097091359131        1.3223653082680511     
   9.1804987833504492E-002   88.446933456449287        1.4387875823905645     
   9.6477666506517262E-002   93.024977541190452        1.5613920461353847     
  0.10123978251780422        97.696853872685466        1.6903119887242706     
  0.10609075099009901        102.46222943917985        1.8256804058124863     
  0.11103002891048341        107.32081059254840        1.9676300534846500     
  0.11605711209376654        112.27234027121254        2.1162934984196884     
  0.12117153244875102        117.31659550260764        2.2718031646171108     
  0.12637285550991204        122.45338515049842        2.4342913770323622     
  0.13166067820251035        127.68254787753986        2.6038904024178842     
  0.13703462681375506        133.00395029775166        2.7807324876369717     
  0.14249435514637385        138.41748529702954        2.9649498956843443     
  0.14803954283430068        143.92307050294281        3.1566749396256446     
  0.15366989380273713        149.52064688742050        3.3560400146296390     
  0.15938513485724445        155.21017748814398        3.5631776282717902     
  0.16518501438842165        160.99164623624131        3.7782204292446098     
  0.17106930118041455        166.86505687942685        4.0013012346128978     
  0.17703778331290387        172.83043199103398        4.2325530557315538     
  0.18309026714746077        178.88781205654178        4.4721091229298047     
  0.18922657639024790        185.03725463019873        4.7201029090632360     
  0.19544655122384866        191.27883355508322        4.9766681520164138     
  0.20175004750198608        197.61263824087106        5.2419388762363486     
  0.20813693600140520        204.03877299401830        5.5160494133727447     
  0.21460710172591388        210.55735639576886        5.7991344220813748     
  0.22116044325805553        217.16852072380766        6.0913289070605119     
  0.22779687215438227        223.87241141386312        6.3927682373693298     
  0.23451631238067253        230.66918655788885        6.7035881640764208     
  0.24131869978386611        237.55901643586586        7.0239248372923582     
  0.24820398159767623        244.54208307842552        7.3539148226151312     
  0.25517211597932155        251.61857985795004        7.6936951170438039     
  0.26222307157487951        258.78871110585686        8.0434031643782831     
  0.26935682711109932        266.05269175407881        8.4031768701537661     
  0.27657337101168988        273.41074699892465        8.7731546161301299     
  0.28387270103625550        280.86311198564215        9.1534752743663539     
  0.29125482394024427        288.41003151218678        9.5442782209093764     
  0.29871975515438220        296.05175975079504        9.9457033491174780     
  0.30626751848226169        303.78855998614694        10.357891082642775     
  0.31389814581473141        311.62070436887080        10.780982388094248     
  0.32161167686005054        319.54847368345600        11.215118787394950     
  0.32940815888865183        327.57215712950017        11.660442369861805     
  0.33728764649159021        335.69205211546085        12.117095804015872     
  0.34525020135175161        343.90846406405507        12.585222349140682     
  0.35329589202701617        352.22170622857919        13.064965866606199     
  0.36142479374459624        360.63209951943003        13.556470830970270     
  0.36963698820588359        369.13997234022855        14.059882340871603     
  0.37793256340106590        377.74566043285768        14.575346129720577     
  0.38631161343302994        386.44950673098907        15.103008576209232     
  0.39477423834990033        395.25186122149603        15.643016714643474     
  0.40332054398574901        404.15308081333097        16.195518245109334     
  0.41195064180895075        413.15352921338837        16.760661543482648     
  0.42066464877779236        422.25357680900157        17.338595671294446     
  0.42946268720287284        431.45360055664514        17.929470385452284     
  0.43834488461592203        440.75398387650500        18.533436147835108     
  0.44731137364472318        450.15511655264277        19.150644134762111     
  0.45636229189369448        459.65739463832335        19.781246246343553     
  0.46549778182994755        469.26122036637202        20.425395115724474     
  0.47471799067443493        478.96700206418353        21.083244118223678     
  0.48402307029795955        488.77515407319237        21.754947380374194     
  0.49341317712176669        498.68609667254509        22.440659788868825     
  0.50288847202249010        508.70025600676388        23.140536999424882     
  0.51244912024123090        518.81806401720905        23.854735445562468     
  0.52209529129654564        529.03995837713421        24.583412347305437     
  0.53182715890117815        539.36638243018206        25.326725719814196     
  0.54164490088226502        549.79778513207611        26.084834381944471     
